New Stock Screen
2026-06-06

Ticker,Name,Last,Rank,MktCap,ccFIGI,PeriodDateQ,SectorCode,IndCode,Pr4W%Chg,SalesGr%TTM,EPSExclXorGr%TTM,PEExclXorTTM,ProjPECurFY,PEGLT,Yield,
MFG,"Mizuho Financial Group, Inc.",9.52,96.85,118349.50,BBG000Q85HQ2,2025-12-31,FINANCIAL,BANKSINTL,9.93,-8.02,22.42,16.81,13.81,0.59,2.06,
LOW,"Lowe's Companies, Inc.",210.74,96.83,118188.24,BBG000BNDN65,2026-04-30,CYCLICALS,HOMEIMPROVE,-8.72,6.24,-2.06,17.82,16.90,4.50,2.37,
SYK,Stryker Corp.,305.66,96.80,116891.61,BBG000DN7P92,2026-03-31,HEALTHCARE,MEDDEVICESGEN,3.88,8.84,16.51,35.40,20.41,1.75,1.15,
NOW,"ServiceNow, Inc.",112.45,96.78,116767.04,BBG000M1R011,2026-03-31,TECH,SOFTW,20.15,21.72,14.10,66.89,27.07,1.15,0.00,
BMY,Bristol Myers Squibb Co.,57.27,96.75,116587.58,BBG000DQLV23,2026-03-31,HEALTHCARE,BIOPHARMANONSYS,1.81,1.78,33.75,16.08,9.07,N/A,4.40,
BMO,Bank of Montreal,164.37,96.73,116147.89,BBG000DLY9B9,2026-04-30,FINANCIAL,BANKSINTL,7.80,-3.41,22.43,17.36,15.68,0.98,2.99,
VRT,Vertiv Holdings Co.,300.51,96.70,114896.49,BBG00L2B8KW8,2026-03-31,INDUSTRIAL,ELECTREQUIP,-11.62,28.95,130.95,75.44,46.56,1.25,0.08,
VRTX,"Vertex Pharmaceuticals, Inc.",446.83,96.68,113369.17,BBG000C1S2X2,2026-03-31,HEALTHCARE,BIOPHARMASYS,5.14,11.75,530.04,26.49,23.14,4.78,0.00,
COF,Capital One Financial Corp.,180.67,96.65,112429.64,BBG000BGKTF9,2026-03-31,FINANCIAL,FINSPECIAL,-6.19,39.21,-76.18,63.69,9.25,0.69,1.77,
BP,BP PLC,42.97,96.63,111956.00,BBG000BT4FC2,2026-03-31,ENERGY,OILGASINTEG,-1.92,4.29,378.28,34.86,8.18,0.59,4.65,
PH,Parker-Hannifin Corp.,882.34,96.60,111365.90,BBG000BR3KL6,2026-03-31,INDUSTRIAL,MACHINE,-0.51,6.03,4.34,32.55,28.22,2.41,0.91,
FTNT,"Fortinet, Inc.",144.68,96.58,110740.45,BBG000BCMBG4,2026-03-31,TECH,SOFTW,34.00,15.75,6.54,55.90,45.93,3.20,0.00,
ACN,Accenture PLC,178.25,96.55,109678.43,BBG000D9D830,2026-02-28,TECH,TECHCONSULTSVCE,-1.08,7.27,0.73,14.60,12.86,1.60,3.66,
PBR,Petróleo Brasileiro SA,17.75,96.53,109566.43,BBG000BS6FX9,2026-03-31,ENERGY,OILGASINTEG,-12.86,3.35,133.74,5.78,4.34,1.95,6.51,
SNY,Sanofi,45.02,96.50,109358.72,BBG000BBD5N1,2025-12-31,HEALTHCARE,BIOPHARMAOTHER,4.26,11.19,-0.24,18.78,9.04,1.37,5.37,
NEM,Newmont Corp.,99.71,96.48,108809.83,BBG000BPWXK1,2026-03-31,MATERIALS,ORE,-12.14,25.14,73.04,12.93,9.65,N/A,1.04,
SBUX,Starbucks Corp.,95.29,96.45,108354.26,BBG000CTQBF3,2026-03-31,CONSUMERSVCE,HOSPITALITY,-8.60,5.88,-52.38,72.73,39.86,2.10,2.60,
EQIX,"Equinix, Inc.",1080.95,96.43,106208.66,BBG000MBDGM6,2026-03-31,FINANCIAL,REIT,1.33,6.67,50.24,74.75,62.92,5.43,1.91,
